ra,dec,mag
0.81826,57.815187,3.46
0.818392,-21.151134,7.04
0.819358,28.719274,7.18
0.82052,57.07502,7.12
0.82054,-24.136672,5.9
0.821154,41.081762,7.06
0.823782,-13.561274,5.59
0.824094,-23.212483,7.15
0.825315,46.510961,7.18
0.825953,-23.362144,6.27
0.827007,47.763927,6.66
0.830234,41.078911,4.53
0.831433,27.710286,5.55
0.831932,-0.224138,6.64
0.832296,-57.386246,7.19
0.832928,34.974176,7.26
0.83396,70.774166,6.9
0.834379,-43.394921,6.49
0.834625,81.967228,7.38
0.835443,-10.644326,5.17
0.837425,28.368984,7.23
0.838403,45.002258,6.13
0.844049,25.584931,7.21
0.844768,-50.986816,5.24
0.845442,64.247549,5.35
0.847896,-71.151433,6.86
0.848913,77.953527,6.76
0.849263,51.508032,6.38
0.853013,-5.039278,6.98
0.853406,38.042206,7.15
0.854551,61.805494,6.04
0.85509,3.38502,6.39
0.85552,-9.405543,6.89
0.856135,-38.52883,7.14
0.856919,32.657075,7.28
0.857203,63.781169,6.87
0.858372,41.231859,7.26
0.85908,-3.143125,7.25
0.859386,51.571427,6.22
0.859691,12.78477,6.7
0.860276,22.623442,7.14
0.860366,-8.81834,7.23
0.863071,48.05657,7.49
0.86449,-43.70903,6.89
0.865135,50.774636,7.4
0.865859,33.889981,6.87
0.870226,-22.617256,7.13
0.873477,-69.503764,6.67
0.874493,21.409939,7.28
0.874686,13.64878,7.38
0.877223,45.133404,7.44
0.877951,-24.005844,5.47
0.87795,-21.438666,7.44
0.879229,68.865801,7.2
0.881047,40.24557,6.76
0.881493,38.548831,6.7
0.883471,-1.14426,4.78
0.883633,-30.356915,7.15
0.884511,61.12397,4.8
0.884893,57.219151,7.26
0.885491,30.349217,7.27
0.886793,-24.776876,6.44
0.888359,19.76649,7.42
0.888716,49.655639,7.11
0.888747,4.086225,7.2
0.889525,69.956108,7.08
0.891173,37.418209,6.07
0.89329,29.080226,7.33
0.893604,29.489305,6.7
0.893839,-62.871352,5.73
0.89459,43.363391,7.19
0.894815,-4.525588,6.53
0.89505,-13.92027,7.48
0.896547,52.689293,6.27
0.897126,28.558215,7.33
0.899747,-48.791356,6.82
0.900108,25.488271,7.26
0.901396,57.014109,7.41
0.901683,66.435547,7.05
0.902768,32.88841,7.22
0.904152,-57.403107,7.33
0.904887,-8.740662,6.15
0.90833,56.319584,7.16
0.909785,19.188417,5.8
0.914667,83.707435,5.59
0.916139,23.628335,5.46
0.916228,-45.219942,7.43
0.916467,24.10027,7.41
0.916551,-74.302356,6.68
0.916715,58.972698,4.83
0.916751,-69.527084,5.45
0.918114,48.67852,6.28
0.919382,57.27614,7.43
0.919976,-47.405965,6.73
0.920742,24.557062,6.19
0.922098,6.854241,7.37
0.923001,-24.660231,7.07
0.923672,28.559438,7.2
0.928444,-7.347149,5.88
0.931378,-53.192541,6.61
0.932093,-27.775839,6.11
0.93292,27.209381,6.08
0.933747,-11.266526,5.35
0.933934,-3.737974,7.41
0.935641,-8.023566,7.44
0.935867,13.95196,6.46
0.936931,57.996557,6.2
0.937449,35.228621,6.93
0.93917,-63.958384,7.17
0.941856,42.978787,6.53
0.944432,59.181056,4.62
0.945143,60.71674,2.15
0.945885,38.499345,3.86
0.946349,-2.729909,6.99
0.946377,60.362836,5.56
0.946974,-25.363367,7.19
0.948624,68.775657,6.39
0.948738,64.532283,6.98
0.953445,23.417648,4.4
0.954012,54.952441,7.14
0.955435,61.421895,6.44
0.955611,52.239935,7.1
0.955952,-76.553946,7.39
0.958294,21.486184,7.02
0.960489,-18.998621,6.92
0.961012,45.839379,6.1
0.961016,1.785612,6.97
0.963931,28.992217,5.44
0.963949,-1.765981,6.56
0.964469,-66.560868,7.17
0.964934,29.521366,7.21
0.965073,75.493842,7.49
0.965142,13.695865,6.3
0.965494,52.136773,7.3
0.967397,37.499519,7.39
0.969375,-15.682776,7.07
0.969411,39.47537,6.55
0.970198,70.49636,6.97
